"","iter","ll_total","objective","sigma","alpha","tau","converge","settings","gene_name","regime","model","param.count","dataset","ntips","AIC","AICc","delta_AIC","delta_AICc","AIC_weight","AICc_weight","truth","AICc_next_worse","AIC_next_worse"
"130",1,52.465124240789,117.314595713636,0.0151652325837651,1e-10,0,NA,"OU1_21_BM1","OU1_21","BM1","BM1",3,"exampleSM",256,-98.930248481578,-98.8350103863399,0,0,0.999860367480831,0.999865915960136,"OU1",4.31918513983264,4.07707383748038
"131",1,44.4841911353494,43.947473316186,0.0399227483561123,0.42766955107367,0,NA,"OU1_21_OU1","OU1_21","OU1","OU1",4,"exampleSM",256,-80.9683822706987,-80.8090197208979,17.9618662108793,18.025990665442,0.000125767857928362,0.000121800094631031,"OU1",4.58817597615412,4.41018912836455
"132",1,44.2790965711671,44.0793447716589,0.0403488424500204,0.432637455789692,0,NA,"OU1_21_OUM","OU1_21","OUM","OUM",6,"exampleSM",256,-76.5581931423342,-76.2208437447438,22.3720553392438,22.6141666415961,1.38646612406755e-05,1.22839452326171e-05,"OU1",1.36130065006857,1.53928749785814
"133",1,-113.405024162902,-61.4856913669645,0.055416373537364,1e-10,0,NA,"OU1_22_BM1","OU1_22","BM1","BM1",3,"exampleSM",256,232.810048325803,232.905286421041,0,0,0.975159673215415,0.976224780090969,"OU1",1.74975695874809,1.74975695874809
"134",1,-116.237668287615,-124.293214208697,0.163704915325408,0.522769268538637,0,NA,"OU1_22_OU1","OU1_22","OU1","OU1",4,"exampleSM",256,240.47533657523,240.634699125031,7.66528824942702,7.72941270398971,0.0211144385995299,0.020470534595331,"OU1",3.64729052364154,3.46930367585196
"135",1,-115.972320125541,-123.937657295809,0.163843076269857,0.524706787094052,0,NA,"OU1_22_OUM","OU1_22","OUM","OUM",6,"exampleSM",256,243.944640251082,244.281989648672,11.134591925279,11.3767032276313,0.00372588818505481,0.0033046853137,"OU1",5.38321326961415,5.62532457196642
"136",1,-181.832445763683,-142.61508916791,0.0945807464089012,1e-10,0,NA,"OU1_23_BM1","OU1_23","BM1","BM1",3,"exampleSM",256,369.664891527367,369.760129622605,0,0,0.841016907710455,0.849697297984431,"OU1",3.87623930599466,3.81211485143194
"137",1,-183.003425724092,-203.525728412244,0.277944253956627,0.527853249020679,0,NA,"OU1_23_OU1","OU1_23","OU1","OU1",4,"exampleSM",256,374.006851448184,374.166213997985,4.34195992081754,4.40608437538026,0.0959312513982514,0.0938631601301616,"OU1",1.01733593648197,0.839349088692416
"138",1,-181.423100268438,-202.176230178864,0.272402312619174,0.522863257460653,0,NA,"OU1_23_OUM","OU1_23","OUM","OUM",6,"exampleSM",256,374.846200536877,375.183549934467,5.18130900950996,5.42342031186223,0.063051840891293,0.0564395418854074,"OU1",10.4914586860955,10.7335699884478
"139",1,-203.810645805049,-170.346225118923,0.112297299970741,1e-10,0,NA,"OU1_24_BM1","OU1_24","BM1","BM1",3,"exampleSM",256,413.621291610098,413.716529705336,0,0,0.902217131725864,0.908126473054746,"OU1",5.1602694451376,5.09614499057489
"140",1,-205.585026805671,-231.162993532919,0.339631495402111,0.543564232099631,0,NA,"OU1_24_OU1","OU1_24","OU1","OU1",4,"exampleSM",256,419.170053611342,419.329416161143,5.54876200124454,5.61288645580726,0.0562875972298653,0.054868555699725,"OU1",0.787776333794056,0.609789486004502
"141",1,-203.889921548673,-229.604313406896,0.333502293359219,0.540411159098328,0,NA,"OU1_24_OUM","OU1_24","OUM","OUM",6,"exampleSM",256,419.779843097347,420.117192494937,6.15855148724904,6.40066278960131,0.0414952710442703,0.0370049712455287,"OU1",3.37993498032114,3.62204628267341
"142",1,-226.107786737861,-250.819264173182,0.467136599297993,0.654593190930229,0,NA,"OU1_25_OU1","OU1_25","OU1","OU1",4,"exampleSM",256,460.215573475722,460.374936025523,0,0,0.748250131213491,0.764622645536108,"OU1",0.771030007556249,0.593043159766694
"143",1,-225.197883254755,-249.789588045939,0.466558727464116,0.659070634559835,0,NA,"OU1_25_OUM","OU1_25","OUM","OUM",6,"exampleSM",256,462.39576650951,462.7331159071,2.18019303378787,2.35817988157743,0.251549755559431,0.23516619983884,"OU1",1.29921339763922,1.35732256571464
"144",1,-235.334395997194,-204.835146531879,0.143663085999943,1e-10,0,NA,"OU1_25_BM1","OU1_25","BM1","BM1",3,"exampleSM",256,476.668791994388,476.764030089626,16.4532185186654,16.3890940641027,0.00020011322707777,0.000211154625052551,"OU1",5.65280545356541,5.41069415121314
"145",1,-194.527810128383,-213.751669411515,0.333094910763299,0.588826408204861,0,NA,"OU1_26_OU1","OU1_26","OU1","OU1",4,"exampleSM",256,397.055620256766,397.214982806566,0,0,0.857650403175321,0.866306130847727,"OU1",1.14775507619493,1.14775507619493
"146",1,-194.459604296371,-213.572290710044,0.334419809367015,0.591956067319862,0,NA,"OU1_26_OUM","OU1_26","OUM","OUM",6,"exampleSM",256,400.919208592741,401.256557990332,3.86358833597569,4.04157518376525,0.12426326165972,0.114829768072289,"OU1",3.61238010380652,3.85449140615879
"147",1,-199.38684999945,-161.346055464383,0.10847714217021,1e-10,0,NA,"OU1_26_BM1","OU1_26","BM1","BM1",3,"exampleSM",256,404.7736999989,404.868938094138,7.71807974213448,7.65395528757176,0.0180863351649588,0.0188641010799845,"OU1",5.439021170525,5.19690986817272
"148",1,-225.876544537612,-255.709540911351,0.42635225166565,0.589881257867525,0,NA,"OU1_27_OUM","OU1_27","OUM","OUM",6,"exampleSM",256,463.753089075225,464.090438472815,0,0.0581091680754184,0.475843285618167,0.452541189050642,"OU1",3.42667873999522,0.119877679714136
"149",1,-227.936483377469,-258.794039557536,0.416186748685624,0.562677406527038,0,NA,"OU1_27_OU1","OU1_27","OU1","OU1",4,"exampleSM",256,463.872966754939,464.03232930474,0.119877679714136,0,0.448159738614892,0.465882459073448,"OU1",0.0581091680754184,3.54891236263336
"150",1,-230.710939558786,-203.316913696025,0.138565399233971,1e-10,0,NA,"OU1_27_BM1","OU1_27","BM1","BM1",3,"exampleSM",256,467.421879117572,467.51711721281,3.6687900423475,3.48478790807064,0.0759969757669417,0.0815763518759105,"OU1",1.18774275337591,1.18774275337591
"151",1,-248.2471528282,-281.540345824603,0.546849618212725,0.643184249247436,0,NA,"OU1_28_OU1","OU1_28","OU1","OU1",4,"exampleSM",256,504.4943056564,504.653668206201,0,0,0.840470635214671,0.851385521555119,"OU1",0.678796478058985,0.7429209326217
"152",1,-247.950389554916,-281.199175090189,0.546421053649964,0.644753028522638,0,NA,"OU1_28_OUM","OU1_28","OUM","OUM",6,"exampleSM",256,507.900779109831,508.238128507422,3.40647345343132,3.58446030122087,0.153043973445771,0.141830814089081,"OU1",2.33013490146595,2.57224620381822
"153",1,-254.111562681864,-231.877930780988,0.166356160670309,1e-10,0,NA,"OU1_28_BM1","OU1_28","BM1","BM1",3,"exampleSM",256,514.223125363729,514.318363458967,9.72881970732885,9.66469525276614,0.00648539133955876,0.00678366435580088,"OU1",1.26429882313653,1.0221875207842
"154",1,-461.165857986225,-690.620543643422,3.15621585736272,0.711435923267479,0,NA,"OU1_29_OU1","OU1_29","OU1","OU1",4,"exampleSM",256,930.331715972449,930.49107852225,0,0,0.800418409751338,0.81425549306874,"OU1",2.95585364607439,2.77786679828478
"155",1,-460.554791385367,-689.896035728477,3.16339519597819,0.71697274473035,0,NA,"OU1_29_OUM","OU1_29","OUM","OUM",6,"exampleSM",256,933.109582770734,933.446932168324,2.77786679828478,2.95585364607439,0.199577214987375,0.185739911015388,"OU1",0.573625724625003,0.815737026977331
"156",1,-474.282781627488,-649.879887896294,0.929090857259235,1e-10,0,NA,"OU1_29_BM1","OU1_29","BM1","BM1",3,"exampleSM",256,954.565563254976,954.660801350214,24.2338472825268,24.169722827964,4.37526128736553e-06,4.59591587244674e-06,"OU1",0.96124265669414,0.897118202131423
"157",1,-309.968576544745,-373.877218276207,0.873190251742892,0.632783817427907,0,NA,"OU1_3_OU1","OU1_3","OU1","OU1",4,"exampleSM",256,627.937153089491,628.096515639292,0,0,0.828695108185058,0.840579062841383,"OU1",3.37578252972241,3.1977956819328
"158",1,-309.567474385712,-373.481730661031,0.869855389261405,0.632594930650485,0,NA,"OU1_3_OUM","OU1_3","OUM","OUM",6,"exampleSM",256,631.134948771424,631.472298169014,3.1977956819328,3.37578252972241,0.167495161431635,0.155430665320623,"OU1",2.30365957518416,2.48164642297377
