Unnamed: 0,iter,loglik,sigma,alpha,tau,converge,gene_name,regime,model,param.count,ntips,AIC,AIC_weight,truth,called
40,1,-91.0106805105692,0.142041078101603,0.559122427619389,0,,OU1_18,OU1,OU1,4,256,190.021361021138,0.570731955393612,OU1,OU1
41,1,-416.006154498453,2.10496941301253,0.671141816468006,0,,OU1_19,OUM,OUM,6,256,844.012308996906,0.724679883793526,OU1,OUX
42,1,-270.362956017821,0.657350240909988,0.651509311892259,0,,OU1_2,OU1,OU1,4,256,548.725912035642,0.767252348452781,OU1,OU1
43,1,-121.784982411524,0.0591631761813157,1e-10,0,,OU1_20,BM1,BM1,3,256,249.569964823049,0.990012870954721,OU1,BM1
44,1,52.465124240789,0.0151652325837651,1e-10,0,,OU1_21,BM1,BM1,3,256,-98.930248481578,0.999860367480831,OU1,BM1
45,1,-113.405024162902,0.055416373537364,1e-10,0,,OU1_22,BM1,BM1,3,256,232.810048325803,0.975159673215415,OU1,BM1
46,1,-181.832445763683,0.0945807464089012,1e-10,0,,OU1_23,BM1,BM1,3,256,369.664891527367,0.841016907710455,OU1,BM1
47,1,-203.810645805049,0.112297299970741,1e-10,0,,OU1_24,BM1,BM1,3,256,413.621291610098,0.902217131725864,OU1,BM1
48,1,-226.107786737861,0.467136599297993,0.654593190930229,0,,OU1_25,OU1,OU1,4,256,460.215573475722,0.748250131213491,OU1,OU1
49,1,-194.527810128383,0.333094910763299,0.588826408204861,0,,OU1_26,OU1,OU1,4,256,397.055620256766,0.857650403175321,OU1,OU1
50,1,-225.876544537612,0.42635225166565,0.589881257867525,0,,OU1_27,OUM,OUM,6,256,463.753089075225,0.475843285618167,OU1,OUX
51,1,-248.2471528282,0.546849618212725,0.643184249247436,0,,OU1_28,OU1,OU1,4,256,504.4943056564,0.840470635214671,OU1,OU1
52,1,-461.165857986225,3.15621585736272,0.711435923267479,0,,OU1_29,OU1,OU1,4,256,930.331715972449,0.800418409751338,OU1,OU1
53,1,-309.968576544745,0.873190251742892,0.632783817427907,0,,OU1_3,OU1,OU1,4,256,627.937153089491,0.828695108185058,OU1,OU1
54,1,-435.144498894848,2.55025812911117,0.703491578109647,0,,OU1_30,OUM,OUM,6,256,882.288997789697,0.84959201196708,OU1,OUX
55,1,96.6524380513387,0.01073828214277,1e-10,0,,OU1_4,BM1,BM1,3,256,-187.304876102677,0.999999413756177,OU1,BM1
56,1,-448.478602033796,2.91495431145572,0.726994163438657,0,,OU1_5,OUM,OUM,6,256,908.957204067592,0.776432071461234,OU1,OUX
57,1,-94.9699077671758,0.0479793361280509,1e-10,0,,OU1_6,BM1,BM1,3,256,195.939815534352,0.90618591985905,OU1,BM1
58,1,-440.729416153017,2.56168463280332,0.673435165339607,0,,OU1_7,OU1,OU1,4,256,889.458832306033,0.781478404134889,OU1,OU1
59,1,-137.779828775158,0.223985651079062,0.621683975135477,0,,OU1_8,OU1,OU1,4,256,283.559657550315,0.732887565639922,OU1,OU1
60,1,-510.631181464938,4.5042308530782,0.687405771938622,0,,OU1_9,OU1,OU1,4,256,1029.26236292988,0.754403693880075,OU1,OU1
61,1,-242.282636026932,0.488807478459325,0.596130756629575,0,,OUM_1,OUM,OUM,6,256,496.565272053863,0.999037086269648,OUX,OUX
