,v_phylo,v_space,frac_heritable
Cldn5,0.01094624820883749,1.1771151863645708,0.009213537187803683
Clec14a,9.41948258862685e-15,2.557866988618244,3.682553717820646e-15
Col5a2,0.309064187217181,1.8200025572030027,0.14516416078883876
Col6a6,0.5569206336626391,1.0302034515918708e-10,0.9999999998150179
Cpa3,0.6157305607421109,1.4056812291005965e-13,0.9999999999997717
Cr2,0.7829950610076875,2.7865231016360584e-16,0.9999999999999996
Csrp3,0.34444969110625795,0.008417485201110528,0.9761454570833237
Cxcl14,0.04087807397969786,1.5531560516022682,0.025644415840077248
Cxcl3,0.3051218531935147,1.8033735609365987e-13,0.9999999999994089
Cxcr2,0.3403279022239956,0.005087204345866757,0.9852722007546656
Cyp11a1,0.6426158608365241,1.4927730589965794e-15,0.9999999999999978
Cyp2j5,0.1818199206661513,0.03111170680934088,0.853888747396524
Cyp4b1,1.0256446651300986,3.9152861135632047e-13,0.9999999999996183
Dab2,1.0679801327498199e-13,1.5346469276006662,6.959125995315888e-14
Ebf1,1.323034772641382,8.942095911819148e-12,0.9999999999932412
Enpp1,1.3780230716426458,0.8495009775472859,0.6186344305210899
Eomes,0.4401891419433174,4.435519417923186e-19,1.0
Fasl,0.8839963388861184,2.6980370591087612e-14,0.9999999999999695
Fcer1a,0.5179230902896024,2.2163689911437477e-08,0.999999957206602
Fcer2a,0.0017205443098970443,0.4182024972114717,0.004097284835010632
Fcmr,0.5651193764727331,8.901044265333724e-13,0.999999999998425
Fermt1,0.1011741924530584,0.5281453094753336,0.1607676103204103
Fgfbp1,0.011863945882367883,0.4983187009629274,0.023254310893811008
Flt3,1.243906316665093,1.202134049755183e-13,0.9999999999999034
Foxp3,6.472812717094058e-07,1.0501265281931866,6.163836979239752e-07
Fscn1,1.7751497365034484e-18,0.31408561482295716,5.651802097030326e-18
Ftcd,0.9573770289927311,4.5820435734614374e-11,0.9999999999521396
Fxyd3,0.2990288033425482,0.9833239315865215,0.23318763644161314
Fzd2,4.654963709955669e-16,0.6770555153647699,6.875305797409775e-16
Galnt18,0.3614287462384331,7.42407037388752e-16,0.999999999999998
Gata2,1.021578833090389,8.451863569061295e-15,0.9999999999999918
Gjb1,0.2771971377980275,2.0138984870267715e-16,0.9999999999999992
Gpihbp1,2.2447411791344127e-10,2.158030897805141,1.0401802778560623e-10
Gpr39,0.09274388960648565,0.920476302421421,0.09153379525615617
Grm6,0.7923668727253294,6.99334165420529e-12,0.9999999999911742
Gzma,0.3916761520126943,0.0016099987034209843,0.9959062918933468
Gzmb,0.5762987328365778,0.79362221903701,0.4206802823538076
Havcr2,0.5508484374356448,1.5977821183909607e-15,0.9999999999999972
Hoxa10,2.0397325877625658e-19,1.2815599759606264,1.5916013499357542e-19
Hpd,0.1537398669481891,7.102104505967093e-15,0.9999999999999538
Htr1b,0.21687936525964138,0.019335525531623942,0.918144341083433
Ibsp,0.7476570808432105,2.382740173608343,0.23883776405055665
Ifng,1.9378737389362706,4.2860322619298095e-09,0.999999997788281
Ighd,1.0618789361533585,5.504717311183067e-11,0.9999999999481607
Inava,0.4642022403648462,1.0376929030284141e-17,1.0
Itgax,0.0187369430192467,0.5877461600951934,0.030894418860192285
Itk,0.7103669808652362,5.1116967687752916e-14,0.9999999999999281
Klhl14,0.12450560511727748,0.16687571839805135,0.4272943907838608
Klrb1c,0.049286910308774017,1.8941108056567328,0.025361206254319178
Klrk1,0.3293375691839963,0.4014507514429524,0.4506606905012592
Krt79,0.28319910172659213,3.2830623508994413e-19,1.0
Ldb2,0.2641563887540121,0.6399143537510402,0.29218552966560124
Mat1a,0.2631859989928451,0.014957330563359992,0.9462243779592868
Mmp12,0.6339232839671665,4.625397057951725e-15,0.9999999999999927
Mrc1,0.04353590207070643,0.33474584856992934,0.11508856030452588
Ms4a1,1.3069960400244938,2.2583662805636904e-15,0.9999999999999983
Ms4a2,1.1706228723107266,3.2982288080697885e-13,0.9999999999997183
Ms4a4b,0.667490673103722,1.4892290225980616e-10,0.9999999997768915
Ms4a7,0.3553231737664471,2.554290940713644e-17,1.0
Ncr1,0.7594083387481028,0.16369890553527794,0.8226653440875556
Nes,1.4010061762298633,0.2053511710801844,0.8721634563915316
Pacsin1,0.8036298711661709,5.95143574783012e-11,0.999999999925943
Pax5,1.1961492677455536,1.349062296350218e-13,0.9999999999998871
Plcb1,1.1077183162259057,8.104765719022293e-10,0.9999999992683369
Pld4,0.230636485417573,0.30420176961825807,0.4312266058868989
Pou2af1,0.5012626967717972,0.019337719893833094,0.9628549665448053
Prdm1,0.598845225753786,3.844245299652592e-15,0.9999999999999936
Prex2,0.8605777729480849,0.23311363774287888,0.7868561136494578
Prss34,0.4192285683875436,0.0027807205609788237,0.993410759824962
Ptprb,0.8658182961586572,0.8160709552508493,0.5147891250467643
Ptpro,0.3355734343666094,6.099360867329546e-18,1.0
Rassf4,0.6116226644945013,1.27369375864908e-13,0.9999999999997918
Retnlg,0.5054882069850367,0.0013018136172325626,0.9974312564093399
Robo4,0.42027715595522847,1.381772813852629,0.2332216991741024
Sdc1,0.008273150367567468,0.27699341872457056,0.02900147183000378
Shank3,1.4531370489146729,0.16551548164037766,0.8977448967483954
Siglech,0.5476351119637624,0.35654840334906246,0.6056681002133669
