gene,selected,adaptive,d_aic,disp_r,aic_BM,aic_OU1,aic_OU2
Fzd7,BM,False,2.0000000000004547,0.38137547180327475,1829.3961111379053,1831.3961111379058,1833.2530114615383
Znrf3,BM,False,1.9999999999990905,0.5219701647042622,2074.274173823418,2076.274173823417,2078.262718681416
Lgr6,BM,False,1.8669411221987957,0.10382096823695107,1166.4996437127459,1169.2578130974575,1168.3665848349447
Gm6863,OU1,False,0.5223988342067969,7.324418166761992,1295.0373277973201,1286.0663174188398,1286.5887162530466
Csnk2a2,BM,False,2.301253144665907,0.3885785921489313,1707.510232071592,1709.811485216258,1711.7645081889993
Lgr4,BM,False,2.000000000001137,0.16961071448254186,1311.2625666816407,1313.2625666816418,1314.2936393555362
Prkca,BM,False,1.2678427362009188,0.2867896330793358,1915.0522620856889,1917.0522620856887,1916.3201048218898
Plcb1,BM,False,1.9999999999993179,0.12369179243100036,1215.1251662187074,1217.1251662187067,1219.046254200353
Pcmtd1,BM,False,2.3737903279366037,0.23666184386211228,1634.853665095036,1637.2274554229725,1639.0299005700213
Jun,BM,False,3.7458262878615187,0.227422170217032,1768.2772022683152,1772.0230285561768,1773.02106475642
Chd8,BM,False,1.9999999999995453,0.4375201580454702,1898.3755002850953,1900.3755002850949,1902.2782706216562
Camk2d,BM,False,2.016010439913316,1.6791235266949667,2614.486155404516,2621.3612338553357,2616.5021658444293
Ep300,BM,False,2.0000000000002274,0.3089603966368705,1966.5335055195642,1968.5335055195644,1970.4107889131226
Trp53,BM,False,1.8739786592286691,1.324112740663904,2450.595505749449,2452.4694844086775,2452.7416633437547
Ccnd1,BM,False,3.784981437064289,2.9086128984440367,3053.505338769243,3057.9549983748475,3057.290320206307
Mcc,OU2,True,0.22256676212600723,0.9344215626952952,2575.1717291349023,2577.491109075412,2574.9491623727763
BC029722,BM,False,2.565231866752356,0.40668139493219935,1686.5027511121957,1689.067982978948,1690.6051508310006
Csnk2a1,BM,False,4.579937613259062,2.6628037857171614,2270.475771284693,2275.055708897952,2277.0354189554437
Ptar1,BM,False,2.000000000001819,0.19854902760665377,1614.562410534649,1616.5624105346508,1618.5604753737764
Gm11953,OU2,True,4.563778287108903,9.338946940007181,518.5583584180446,519.8754564777655,513.9945801309357
