gene,selected,adaptive,d_aic,disp_r,aic_BM,aic_OU1,aic_OU2
Rnf145,BM,False,0.9198578531763815,0.4651149006046016,2219.880070898133,2220.7999287513094,2221.9974373038226
Anln,BM,False,2.0000000000027285,0.2037248914776836,2253.0959977087277,2255.0959977087305,2255.2877698604525
Mcm3,BM,False,1.3579660721352411,0.22104358359622378,2243.8129502819575,2245.8129502819556,2245.1709163540927
Ncapd2,BM,False,0.8888045073172179,0.1752739056195045,2002.9764009754924,2004.976400975493,2003.8652054828096
Mtmr4,BM,False,2.0000000000002274,0.2752130346459853,1820.7207214536422,1822.7207214536425,1824.675318535149
Cdca2,BM,False,2.0000000000002274,0.10900918829396597,1483.557485156397,1485.5574851563972,1486.9705153611806
Thbs2,OU2,True,0.5391478460885537,0.21880627074128245,1838.3360941838957,1842.0231971428384,1837.7969463378072
Pimreg,BM,False,0.848700053558332,0.1289966506020498,1630.3836630307444,1632.383663030744,1631.2323630843027
Tbc1d31,BM,False,1.9238139045901335,0.1798774617455224,1613.8942812916653,1615.8180951962554,1616.4952792703805
Dhfr,BM,False,2.0,0.1764050692310984,1624.017825350849,1626.017825350849,1627.8777005106044
Xbp1,BM,False,5.095248027931575,0.5739412724045256,2390.1058879711486,2397.0789525202717,2395.20113599908
Coq2,BM,False,2.0,0.2221237946248338,1694.8258896095842,1696.8258896095842,1698.4590967496233
Lgr6,BM,False,1.8669411221987957,0.10382096823695107,1166.4996437127459,1169.2578130974575,1168.3665848349447
Slc39a11,BM,False,2.0000000000013642,0.1979188844839817,1699.4355235592454,1701.4355235592468,1702.513925944454
Sft2d2,BM,False,2.0,0.28585898739718274,1951.3604361089515,1953.3604361089515,1955.083189105403
Gbp2,BM,False,2.6398330371125667,0.2070259939807614,2058.517507526642,2061.1573405637546,2061.77149473245
Cadm2,OU2,True,0.10650656207758402,0.24416475618228667,1583.202326256082,1582.5990382438943,1582.4925316818167
St3gal1,BM,False,1.9999999999990905,0.35827293531996357,2238.940512564842,2240.940512564841,2242.9061430176007
Bag2,BM,False,1.9999999999986358,0.2542105581628085,1854.5736040197369,1856.5736040197355,1857.4241878445323
Tsr1,BM,False,2.000000000000682,0.22232997340897137,1770.4760982788262,1772.4760982788268,1772.6036006886386
Hccs,BM,False,1.8103773535626715,0.24612510941600044,1588.0690476832256,1589.8794250367882,1591.0687192473042
Plk1,BM,False,1.9722700399097448,0.1214034550157799,1805.242839398722,1807.2428393987225,1807.2151094386318
Sap30,BM,False,1.3899755185734648,0.3914347841674457,1676.8037876548458,1678.1937631734193,1680.1453275246101
St3gal5,OU1,False,1.919430061589992,0.6971396123736101,2467.1584657311587,2463.0857178346705,2465.0051478962605
Gas7,BM,False,1.6589717558420034,0.14795287364508702,1768.8511174072653,1770.5100891631073,1770.7462584473599
Pi4k2b,BM,False,0.3729932166793333,0.5282254028987493,2169.3905426078445,2170.217412065486,2169.763535824524
Klra4,BM,False,1.8056190187476204,0.2292043104372963,2043.0611006382503,2044.866719656998,2046.7504829027655
Rrm1,OU2,True,1.1911846526804766,0.3405275519605712,2577.965372727553,2580.078123627608,2576.7741880748727
Naga,BM,False,2.275993661730581,0.28979993880493116,1866.117576706663,1868.3935703683935,1870.289795118741
Rhot1,BM,False,5.608031523527643,0.71926570976545,2305.141577214893,2310.7496087384206,2311.89147321401
Srm,BM,False,1.0350211340087299,0.7161625487042086,2431.9782663405417,2433.0132874745505,2434.9756771994435
Tcf19,OU2,True,0.3889011014971402,0.2315227686376775,2043.5808237476595,2045.5808237476579,2043.1919226461623
Afg3l2,OU2,True,0.236837319481765,0.45590202564105026,2171.778527112343,2171.4949040984757,2171.258066778994
Kif2c,BM,False,1.8403576977675584,0.09085262526928436,1381.654116692976,1383.6541166929699,1383.4944743907436
