rep,div,theta_cov50,theta_cov90,theta_mean,theta_sd,theta_rank,sigma_cov50,sigma_cov90,sigma_mean,sigma_sd,sigma_rank,tau_cov50,tau_cov90,tau_mean,tau_sd,tau_rank
26,0,0,1,2.278501553314286,0.36518388559406123,0.21928571428571428,1,1,0.9285456999928572,0.13899577654383052,0.715,0,1,0.36889062201214284,0.09995283522963981,0.20642857142857143
27,0,1,1,1.8136398917571428,0.4192649570460843,0.6792857142857143,0,1,1.1194354349214284,0.08263608290980497,0.07,0,0,0.1094543015814857,0.0755616210938979,0.9821428571428571
28,0,1,1,2.0483800195,0.4048281172955635,0.4607142857142857,0,1,1.0892342366285714,0.10823759561622072,0.22,0,1,0.2067213074159643,0.11260328170861104,0.7778571428571428
29,0,1,1,1.9488757815785713,0.42895850496992816,0.5385714285714286,0,1,1.1385331490428572,0.12118090632429229,0.14357142857142857,1,1,0.23648295681797932,0.11632948754959516,0.6792857142857143
30,0,0,1,1.60853018035,0.4154281066789929,0.8335714285714285,0,1,1.1130665705142857,0.10833396975943052,0.15071428571428572,0,1,0.20678973107642856,0.1113988382668506,0.7814285714285715
31,0,0,1,1.4920201106465714,0.34714879000043286,0.9221428571428572,1,1,0.9293331640714284,0.1229568107437386,0.7264285714285714,0,1,0.39123956750499994,0.08243373894268345,0.12428571428571429
32,0,0,1,1.6633261350214286,0.40826239999913694,0.795,0,1,1.0921868146214286,0.07788212803779045,0.11357142857142857,0,0,0.11226883889150001,0.08115230218745584,0.9814285714285714
33,0,1,1,2.088219659114286,0.395049852956601,0.4,1,1,0.9865803567285715,0.14237847142469315,0.5564285714285714,1,1,0.32409562353599997,0.11954448737698722,0.3557142857142857
34,0,1,1,1.7851917370428572,0.37272930613206817,0.73,1,1,1.000150777092857,0.14183679743292044,0.5371428571428571,0,1,0.3729678534413571,0.10949120947520515,0.20714285714285716
35,0,1,1,1.9193061802142857,0.38616657496742707,0.5807142857142857,1,1,1.0247891007142858,0.1310313945134055,0.435,1,1,0.27702468867121427,0.11906856167557059,0.5264285714285715
36,0,1,1,2.0054748961785713,0.3977681388974882,0.4878571428571429,0,1,1.0779625682214287,0.11293240647222347,0.24785714285714286,0,1,0.2069007407500743,0.11354536085779542,0.7671428571428571
37,0,0,0,1.0575140338721427,0.3570197888469114,0.9957142857142857,1,1,0.9440923348642857,0.12400563525395236,0.6942857142857143,1,1,0.315988128095,0.09584368374420504,0.36857142857142855
38,0,0,1,1.6759579569428573,0.3199537481273924,0.86,0,1,0.8675811053071428,0.12392979439812454,0.8471428571428572,1,1,0.2856531370467857,0.10502342358241461,0.505
39,0,1,1,2.2826757534499995,0.43432986991897105,0.2571428571428571,0,1,1.0801997832285715,0.10495972091995968,0.20857142857142857,0,1,0.18364764627419286,0.10568893405141784,0.8514285714285714
40,0,1,1,1.7302575185357143,0.4260982553366521,0.74,0,1,1.1000420008,0.1235147051590455,0.21642857142857144,1,1,0.2777684826792857,0.11341995118494799,0.5307142857142857
41,0,0,1,1.6172096085971426,0.46540915873359784,0.7978571428571428,0,0,1.212432214857143,0.1229246092804227,0.04642857142857143,1,1,0.24013131148328573,0.11938707932834923,0.675
42,0,1,1,1.8754755322285714,0.3682846458654597,0.6164285714285714,1,1,0.9748892834500001,0.13975360793159405,0.5742857142857143,1,1,0.34541362885814286,0.1083556034115084,0.28285714285714286
43,0,1,1,1.7644082539785713,0.45530835905191985,0.6892857142857143,0,1,1.1899291557571428,0.11977385172252417,0.05928571428571429,1,1,0.2487918550914893,0.12155593260490351,0.6242857142857143
44,0,0,1,1.7021902483142857,0.3946058938028117,0.7771428571428571,1,1,1.0230709428142857,0.11507372407318685,0.41785714285714287,1,1,0.24512952270649999,0.10783506533289275,0.6678571428571428
45,0,0,1,2.5356599991428572,0.3776572898608701,0.07857142857142857,1,1,1.005846592907143,0.1396371893997957,0.5114285714285715,0,1,0.376401760665,0.10592555613667687,0.1992857142857143
46,0,0,1,2.26255055525,0.39564970820038803,0.24785714285714286,1,1,1.0553131286142856,0.11653565351962626,0.32,1,1,0.22905909860314289,0.1124783813714928,0.71
47,0,1,1,2.203509643657143,0.37808930372961524,0.2885714285714286,1,1,0.9869712079857144,0.11798248803989558,0.5542857142857143,1,1,0.2761308158680714,0.10605836513694543,0.5421428571428571
48,0,1,1,2.0476463187214287,0.3644637248503595,0.4542857142857143,1,1,0.9670915175214286,0.09725151527502153,0.6164285714285714,0,1,0.18462906432348572,0.09839235599530884,0.8792857142857143
49,0,0,1,1.5860265241357143,0.3438375292663274,0.8885714285714286,0,1,0.9120241078142856,0.11343111995676944,0.77,1,1,0.24887849028207143,0.10259051074236578,0.6635714285714286
50,0,1,1,1.8541646846142859,0.3891912546746113,0.6635714285714286,1,1,1.0136091094857145,0.08274790554879052,0.4357142857142857,0,0,0.14133421771149285,0.08695961775179288,0.9635714285714285
51,0,0,1,1.5140074820857146,0.4020966836513826,0.8871428571428571,0,1,1.0819507697142856,0.1165681071725586,0.2307142857142857,0,1,0.21044846703971432,0.11842455198003232,0.76
52,0,0,0,1.38133372729,0.37308996770043307,0.95,1,1,0.9618062586499999,0.09208175510101796,0.6464285714285715,0,1,0.16432613246402145,0.09291618737130121,0.92
53,0,0,1,2.3105752079285713,0.3770152760605485,0.19714285714285715,1,1,0.9901095610857144,0.1359929784699935,0.5535714285714286,1,1,0.28472731451922856,0.11537133125539448,0.4957142857142857
54,0,0,0,1.152662665754357,0.3571171325348871,0.9942857142857143,0,1,0.9290426171357142,0.09723046453749852,0.7514285714285714,0,1,0.18422107874871432,0.09651063743252986,0.8864285714285715
55,0,1,1,1.9734999275142862,0.3360589739049695,0.5321428571428571,1,1,0.925149588507143,0.12907533595647985,0.7121428571428572,1,1,0.29605869491357145,0.10613294667385548,0.4614285714285714
56,0,1,1,2.1720704612142856,0.3217005391053827,0.29285714285714287,0,1,0.8230022753714286,0.14995350863353699,0.87,0,1,0.3707509877607143,0.10289686359841214,0.21642857142857144
57,0,0,1,2.497257725357143,0.3934884598866976,0.10214285714285715,1,1,1.03477027515,0.10279752664183049,0.35714285714285715,0,1,0.19776929815195,0.10637180557694931,0.8228571428571428
