"gene_name" "tau" "alpha" "sigma" "theta_r1" "theta_r2" "theta_r4"
"25" "BM1_25" 0.396208951712051 0.369012650156014 1.91163920641993 4.3681779986728 4.62979431084176 3.47529071727768
"26" "BM1_26" 0.294719457320407 0.418066165355858 1.03919078920599 5.40051880205177 4.2691002865078 5.83557013520607
"27" "BM1_27" 0.210887677346444 0.312044447192717 0.395141442997949 5.96015533907798 6.44249003638799 5.42916379552252
"28" "BM1_28" 0.290955565567249 0.48544891759474 1.56549811579994 0.84299334982956 1.37812126868102 1.03776923001735
"29" "BM1_29" 0.361338007562746 0.512239237219485 2.55553062629621 5.76004936174645 4.98197914136579 5.69450996778884
"30" "BM1_30" 0.379737779961801 0.513104646293745 2.82753227472409 3.94021685348829 3.56454534857103 3.13687039719392
"31" "OU1_1" 0.112494356945479 0.93209334171725 0.651088602470808 5.50858833140401 5.52235790800444 5.29307769841387
"32" "OU1_2" 0.134359173454473 0.895887011726777 0.826751086192791 5.5678889565732 5.57892890977598 5.32593527892453
"33" "OU1_3" 0.160557281764323 0.950046523897565 1.10308432630772 4.14824974962584 4.16669395970943 4.15075780317989
"34" "OU1_4" 0.05 0.982200113901834 0.01 6.43411248093398 6.42126824151669 6.42297107000506
"35" "OU1_5" 0.286886627087671 0.900456807928794 3.39553852583684 1.05520748075067 1.50903048630013 1.45713871816517
"36" "OU1_6" 0.05 0.873666257309475 0.176295527716963 7.43531705105305 7.3824243943431 7.39441847236868
"37" "OU1_7" 0.274545907339481 0.92230838500605 3.25910317220404 5.27380525133042 5.18169236190854 5.57850731202306
"38" "OU1_8" 0.0657737853348752 0.886949918841471 0.250921257065457 6.02707211754827 6.09662699156225 6.15224287565852
"39" "OU1_9" 0.269110516757251 0.639822858032988 0.01 2.00367179912565 2.27368503320092 1.30422116204284
"40" "OU1_10" 0.131579411122534 0.938517321649736 0.752899114377644 2.8127827077017 2.65684301596987 2.43977968148686
"41" "OU1_11" 0.05 0.778659641991294 0.0347570925606109 6.57243271452337 6.57510171131418 6.53991351285453
"42" "OU1_12" 0.05 1.01112149248111 0.01 7.10583374614899 7.09500534464237 7.06972291273169
"43" "OU1_13" 0.0500831793942021 0.866684642003829 0.118082544918796 5.98989070229846 5.93662367770082 5.94813393288321
"44" "OU1_14" 0.258780048083048 0.904988937270134 2.7213224113745 2.72641929232571 2.35880845048424 2.93934021827164
"45" "OU1_15" 0.0709502486814305 0.933874771592377 0.306035673487071 6.26695557909483 6.27189691635264 6.28984052658917
"46" "OU1_16" 0.185654927568338 0.797406637053869 1.25462494535294 3.18060573286245 2.91506403107486 3.17227121731322
"47" "OU1_17" 0.05 0.77965273595846 0.0204496461604089 5.53048312070302 5.46167102977537 5.46183507833617
"48" "OU1_18" 0.0500000000000001 1.0328459867789 0.203857254937598 6.21387679505533 6.20917522306628 6.16964820364352
"49" "OU1_19" 0.251224091607714 0.913092030773761 2.47376616940361 0.690246623578475 0.989108512969911 1.39322583159713
"50" "OU1_20" 0.0586629979721532 0.89515869452382 0.239591103913814 5.96950063637765 5.88163170774146 5.99498227697375
"51" "OU1_21" 0.05 0.772492171200888 0.013114238815759 7.33196160241943 7.32756348606328 7.3074476129806
"52" "OU1_22" 0.0626715263160121 0.871232145621492 0.209376390651406 6.42057528197162 6.44173043000813 6.45738433099504
"53" "OU1_23" 0.083856639231033 0.829285007452819 0.341233437485159 5.47486560784883 5.47181339401527 5.62447588731458
"54" "OU1_24" 0.0957245826338125 0.85759691559786 0.421221951030433 5.33527636619776 5.39169698271899 5.53110870654538
"55" "OU1_25" 0.108287068006621 0.895396816792567 0.564310602049181 4.83790753592636 4.92950223111676 5.03789647676067
"56" "OU1_26" 0.0961170179314248 0.90836399830755 0.422283936299823 5.83302373328997 5.83897190904389 5.77878308255524
"57" "OU1_27" 0.108887280486735 0.911718999139957 0.553712884801085 6.15237059224273 6.28667824238155 6.03987160297999
"58" "OU1_28" 0.119467633206527 0.867165384288898 0.642104014701839 0.1811341883085 0.264533960227956 0.338401818615306
"59" "OU1_29" 0.29709010450976 0.902646870218095 3.71744907982491 4.24300016172336 4.34432622720804 4.16549133187007
"60" "OU1_30" 0.266502256659085 0.89766945603486 2.73684456887075 3.94919682369285 3.42818841079601 3.63176174552664
"61" "OUM_1" 0.118980505950908 0.853580531388666 0.571459413732777 5.26421613004797 5.63118012799161 6.05736354710613
"62" "OUM_2" 0.14457069692395 0.826810680017861 0.818630989588174 5.32917393500557 5.69064012191726 6.1461761963196
"63" "OUM_3" 0.150933721534974 0.947361308798555 0.96356539336283 4.45400502890994 4.41013191890243 4.63891933859642
"64" "OUM_4" 0.05 0.794403096962834 0.0181382857692072 6.2193384153516 6.37907846830828 6.17728324563611
"65" "OUM_5" 0.305587397261475 0.919655166474236 2.88755107053345 2.81626467626845 1.25539310079042 0.19711179976664
"66" "OUM_6" 0.122351401980691 1.12927799186604 0.0935218522923268 5.97315624938557 7.55243790215384 8.41994152495597
"67" "OUM_7" 0.234592795541412 0.956278104533913 2.17715252351964 4.81607565877892 5.17965469144154 6.23564961503289
"68" "OUM_8" 0.0792923055113992 0.982951181669207 0.260543675405199 5.64242116842556 6.22779011719497 6.69589091919744
"69" "OUM_9" 0.380859537469878 0.8651882373451 4.56210310202374 3.34171654767914 1.99890295436233 0.253880109224539
"70" "OUM_10" 0.149953516277689 0.927361175575785 0.627735566849022 3.32754312203082 2.58853623508802 1.77684062198091
"71" "OUM_11" 0.0820330522517956 0.943560947722197 0.10190448279824 5.48460643489278 6.61540206296383 7.1868620694154
"72" "OUM_12" 0.0607742380772098 1.05634113160789 0.0635153622001042 6.36343422002278 7.16337663659651 7.57448938830026
"73" "OUM_13" 0.0836669937071184 0.93021401202194 0.277115353780781 5.42790914928488 5.87668365239561 5.92285250248978
"74" "OUM_14" 0.282948681628974 0.833267679597267 2.67442743659185 3.31396719733879 2.38757495946818 1.40988473605294
"75" "OUM_15" 0.112483650291968 1.05418961130363 0.184644959447896 5.34517498587394 6.40170769949365 7.35258811681041
"76" "OUM_16" 0.20245110773266 0.876239281298941 1.21505387279991 3.74668531634359 2.80616700391861 1.79428728158438
"77" "OUM_17" 0.0500008953444213 0.876111289577128 0.0131435696574564 5.55868313704095 5.46276847338865 5.10099098256371
"78" "OUM_18" 0.0659679190229913 0.982699820595965 0.126508850952395 5.74754209445815 6.34263532603085 6.88017087653873
"79" "OUM_19" 0.280257303609638 0.881532081034853 2.26958156985491 2.46625809413414 0.81838977820685 0.204479817578889
"80" "OUM_20" 0.0710719806108215 0.829605922054461 0.186747460780701 5.38098134073612 5.95366683037594 6.18661167765795
"81" "OUM_21" 0.0613863048715524 1.01044901902676 0.151087369060371 6.56289723437179 7.35459012708148 7.75903233203409
"82" "OUM_22" 0.0769706985426246 0.915256776255285 0.259657048411731 5.9329086138247 6.45740879734162 6.81462586690013
"83" "OUM_23" 0.0874449441311035 0.951261506320154 0.306663121140866 5.21998528972888 5.654950987145 6.25669506007254
"84" "OUM_24" 0.0760694900192623 0.983485438698535 0.283127160737838 5.14800837243932 5.54817632146535 5.94530271759443
"85" "OUM_25" 0.110427464642174 0.857857830549438 0.558877368486049 4.97362447051717 4.97391149322954 5.27552587569047
"86" "OUM_26" 0.104858685731859 0.932524140361294 0.501345633856675 5.39631852406468 5.84978951504691 5.94973902585492
"87" "OUM_27" 0.139975934309509 0.849253920523782 0.436143386969219 5.49760359097845 6.34447777497032 7.35440775360734
"88" "OUM_28" 0.18089071209997 0.894932228521216 0.98438614235683 1.40413361092114 0.286683124723004 1.00037294314784e-10
"89" "OUM_29" 0.31577938044004 0.908528729968691 3.82298537320056 4.59261552632786 4.19238368010788 3.0304243158636
"90" "OUM_30" 0.275224347591077 0.919420862038306 2.81443552064356 4.06771468671647 3.3711731289968 2.33665495523243
