"gene_name" "tau" "alpha" "sigma" "theta_1"
"26" "BM1_26" 0.29874711685172 1e-10 0.341822793580812 4.74752949567224
"27" "BM1_27" 0.217874089871599 1e-10 0.130001069261567 6.24031870815541
"28" "BM1_28" 0.297302661103466 1e-10 0.495986300351182 1.15760176139224
"29" "BM1_29" 0.36780379562456 1e-10 0.797054460161222 5.3928561071513
"30" "BM1_30" 0.384797828004785 1e-10 0.925086242812228 3.63590838801884
"31" "OU1_1" 0.131413930692421 1e-10 0.194564048652754 5.52224440309218
"32" "OU1_2" 0.150602089768232 1e-10 0.242660502315153 5.55223122998858
"33" "OU1_3" 0.170374716008243 1e-10 0.322965917680631 4.13389249469529
"34" "OU1_4" 0.05 1e-10 0.01 6.4211390688711
"35" "OU1_5" 0.294524926746715 1e-10 1.06163100980423 1.33522278247187
"36" "OU1_6" 0.0659895862244225 1e-10 0.01 7.40021161508423
"37" "OU1_7" 0.282722483246651 1e-10 1.01253515295707 5.32453476033637
"38" "OU1_8" 0.0935265663853575 1e-10 0.0638800422454479 6.05373926644664
"39" "OU1_9" 0.366877397791604 1e-10 1.57643863208481 2.31490918109308
"40" "OU1_10" 0.144994626399964 1e-10 0.222127786607483 2.69093907904208
"41" "OU1_11" 0.05 1e-10 0.01 6.57380504717549
"42" "OU1_12" 0.05 1e-10 0.01 7.0965028131631
"43" "OU1_13" 0.0859447861484985 1e-10 0.0181326517932577 5.95737752708208
"44" "OU1_14" 0.266286016458702 1e-10 0.841266891818106 2.46261319302064
"45" "OU1_15" 0.099211972696798 1e-10 0.0797612135924713 6.2912069305422
"46" "OU1_16" 0.196030987455735 1e-10 0.36767118830596 2.98639723949529
"47" "OU1_17" 0.05 1e-10 0.01 5.47267362989106
"48" "OU1_18" 0.0917786385954271 1e-10 0.0379367515386926 6.18173608493418
"49" "OU1_19" 0.258285084231176 1e-10 0.769063132344942 0.941437184816083
"50" "OU1_20" 0.095521073677042 1e-10 0.0543607674973338 5.94030890446573
"51" "OU1_21" 0.05 1e-10 0.01 7.32170917597703
"52" "OU1_22" 0.0893882412903379 1e-10 0.0510130873602097 6.435566821784
"53" "OU1_23" 0.107801341999322 1e-10 0.0895638526267122 5.48703230369459
"54" "OU1_24" 0.116024128499157 1e-10 0.115089710899709 5.38792823697109
"55" "OU1_25" 0.126802703527966 1e-10 0.162033714483854 4.91689982144198
"56" "OU1_26" 0.113419953485854 1e-10 0.120014033725478 5.82218342388629
"57" "OU1_27" 0.127212815138001 1e-10 0.153708661435722 6.24226105068566
"58" "OU1_28" 0.13617451945791 1e-10 0.182509741885354 0.248970271562315
"59" "OU1_29" 0.30421894562586 1e-10 1.14963997660999 4.27308463526168
"60" "OU1_30" 0.273088169747227 1e-10 0.843068798261911 3.52899351349196
"61" "OUM_1" 0.136669351252609 1e-10 0.169313233185024 5.61406057767968
"62" "OUM_2" 0.160757457415728 1e-10 0.240010423120566 5.6883348688621
"63" "OUM_3" 0.163029656539764 1e-10 0.297147142453609 4.40891167976014
"64" "OUM_4" 0.05 1e-10 0.01 6.31234623597019
"65" "OUM_5" 0.31291742796321 1e-10 0.970105636619755 1.43495570018746
"66" "OUM_6" 0.154806092848352 1e-10 0.108996297014136 7.33076507966131
"67" "OUM_7" 0.243852220670183 1e-10 0.705600408663 5.27683516566903
"68" "OUM_8" 0.109892515791805 1e-10 0.0854308400179805 6.13502934525385
"69" "OUM_9" 0.386156708253709 1e-10 1.51101039196129 2.07541959338094
"70" "OUM_10" 0.160773873115634 1e-10 0.235889031857486 2.67270344064243
"71" "OUM_11" 0.113657700558187 1e-10 0.0584852649350504 6.43582555403658
"72" "OUM_12" 0.0819459776991626 1e-10 0.0348414623513403 7.0169772555325
"73" "OUM_13" 0.10571379387419 1e-10 0.0756339692725233 5.78199703168097
"74" "OUM_14" 0.291004106992786 1e-10 0.851084713161145 2.45378987955365
"75" "OUM_15" 0.137918788975299 1e-10 0.112581375181863 6.28888185322482
"76" "OUM_16" 0.213587192401387 1e-10 0.4213246750551 2.86180937422253
"77" "OUM_17" 0.05 1e-10 0.01 5.4381663639929
"78" "OUM_18" 0.0935694644982094 1e-10 0.0486460010175496 6.28297390478441
"79" "OUM_19" 0.288395493886976 1e-10 0.755783255682114 1.16495297891332
"80" "OUM_20" 0.094749101241044 1e-10 0.0535816651695361 5.83749617980641
"81" "OUM_21" 0.0996869403382293 1e-10 0.0517132484684634 7.228404219031
"82" "OUM_22" 0.105327871918034 1e-10 0.0757341135385403 6.36779350831495
"83" "OUM_23" 0.11210498298856 1e-10 0.0981453716485093 5.63632799884764
