"","iter","loglik","sigma","alpha","tau","converge","gene_name","regime","model","param.count","ntips","AIC","AIC_weight"
"40",9,-78.680738340683,0.189371195351554,0.904146568271234,0.05,"converged","OU1_18","OU1","OU1",4,256,165.361476681366,0.932840490039801
"41",6,-412.472973752333,2.47376616940361,0.913092030773761,0.251224091607714,"converged","OU1_19","OUM","OUM",6,256,836.945947504666,0.611517367724833
"42",6,-272.76722684744,0.83126563058488,0.893129068654829,0.134748823811742,"converged","OU1_2","OU1","OU1",4,256,553.534453694879,0.705769889063145
"43",6,-111.524250230304,0.24027069055142,0.892270267877761,0.0604255052870287,"converged","OU1_20","OU1","OU1",4,256,231.048500460608,0.688405028230181
"44",17,208.545766482194,0.0131726207504724,0.771854890692014,0.05,"converged","OU1_21","OU1","OU1",4,256,-409.091532964389,0.818852887165371
"45",10,-98.5505943317927,0.209338503665257,0.870827339778756,0.0627693121857893,"converged","OU1_22","OU1","OU1",4,256,205.101188663585,0.874272535874702
"46",6,-166.689715986981,0.343719738821661,0.831628444402054,0.0845628299663795,"converged","OU1_23","OU1","OU1",4,256,341.379431973962,0.75887526721864
"47",7,-190.990462078342,0.424427913627072,0.859099677639087,0.0962055224065195,"converged","OU1_24","OU1","OU1",4,256,389.980924156683,0.744994942730044
"48",6,-223.532899784195,0.566040169761654,0.888856538863686,0.107840126009575,"converged","OU1_25","OU1","OU1",4,256,455.06579956839,0.750051162020679
"49",6,-185.733450451646,0.422690471752178,0.908433183669283,0.0961653763804273,"converged","OU1_26","OU1","OU1",4,256,379.466900903292,0.866849470611302
"50",6,-218.868927719922,0.553712884801085,0.911718999139957,0.108887280486735,"converged","OU1_27","OUM","OUM",6,256,449.737855439844,0.587617151590981
"51",6,-243.153479451416,0.642381767531085,0.862229636837132,0.119204565362861,"converged","OU1_28","OU1","OU1",4,256,494.306958902831,0.818476847328654
"52",6,-464.265183677952,3.72475532151924,0.90304385381942,0.297106384876485,"converged","OU1_29","OU1","OU1",4,256,936.530367355903,0.858586224935448
"53",6,-304.853886549669,1.10374956996008,0.950985259954512,0.160599833171325,"converged","OU1_3","OU1","OU1",4,256,617.707773099338,0.880206096886749
"54",6,-426.883406000189,2.73684456887075,0.89766945603486,0.266502256659085,"converged","OU1_30","OUM","OUM",6,256,865.766812000377,0.687387779283705
"55",9,283.896297005832,0.01,0.982200113901834,0.05,"converged","OU1_4","OUM","OUM",6,256,-555.792594011665,0.977136230488937
"56",6,-454.477141302919,3.43645137674727,0.89910039875659,0.287098380284261,"converged","OU1_5","OU1","OU1",4,256,916.954282605837,0.565286035336969
"57",9,-73.9045953385206,0.176964043705649,0.874044230574413,0.05,"converged","OU1_6","OU1","OU1",4,256,155.809190677041,0.82465976553143
"58",6,-445.468574414851,3.26394081995397,0.917165393962742,0.274644155664228,"converged","OU1_7","OU1","OU1",4,256,898.937148829702,0.77342539993511
"59",6,-119.509519695487,0.250769420332942,0.878264672257158,0.0656137954823255,"converged","OU1_8","OU1","OU1",4,256,247.019039390974,0.765581166519226
"60",20,22.3562631252598,0.01,0.639822858032988,0.269110516757251,"early_stop_oscillating","OU1_9","OUM","OUM",6,256,-32.7125262505197,1
"61",6,-230.072066977886,0.571459413732777,0.853580531388666,0.118980505950908,"converged","OUM_1","OUM","OUM",6,256,472.144133955772,0.999935813019866
"62",7,-239.482439872361,0.627735566849022,0.927361175575785,0.149953516277689,"converged","OUM_10","OUM","OUM",6,256,490.964879744722,1
"63",14,-9.26598890639536,0.10190448279824,0.943560947722197,0.0820330522517956,"converged","OUM_11","OUM","OUM",6,256,30.5319778127907,1
"64",14,59.5401329148202,0.0635153622001042,1.05634113160789,0.0607742380772098,"converged","OUM_12","OUM","OUM",6,256,-107.08026582964,1
"65",7,-130.632551132143,0.277115353780781,0.93021401202194,0.0836669937071184,"converged","OUM_13","OUM","OUM",6,256,273.265102264286,0.999999969596894
