"","iter","ll_total","objective","sigma","alpha","tau","converge","settings","gene_name","regime","model","param.count","dataset","ntips","AIC","AICc","delta_AIC","delta_AICc","AIC_weight","AICc_weight","truth","AICc_next_worse","AIC_next_worse"
"13",9,-321.886483339752,-251.098927657828,0.247476944520154,1e-10,0.222525245564614,"converged","BM1_13_BM1","BM1_13","BM1","BM1",3,"exampleEM",256,649.772966679503,649.868204774741,0,0,0.999999848524292,0.999999855233322,"BM1",4.38077183593407,4.38077183593407
"14",7,-336.757109582183,-330.674194778276,0.746041110585202,0.437245639217188,0.215299883073209,"converged","BM1_13_OU1","BM1_13","OU1","OU1",4,"exampleEM",256,681.514219164367,681.673581714168,31.7412524848637,31.8053769394264,1.28077998682432e-07,1.24036666870962e-07,"BM1",0.263793111180348,0.327917565743064
"15",7,-336.457110905634,-328.637031853038,0.777932887700114,0.465084010387411,0.215478021492237,"converged","BM1_13_OUM","BM1_13","OUM","OUM",6,"exampleEM",256,684.914221811268,685.251571208858,35.1412551317644,35.3833664341167,2.33977091872013e-08,2.07300113740082e-08,"BM1",3.41329265787192,3.59127950566153
"16",9,-508.143176043353,-437.31958383143,1.07051027310289,1e-10,0.434225141296377,"converged","BM1_14_BM1","BM1_14","BM1","BM1",3,"exampleEM",256,1022.28635208671,1022.38159018194,0,0,0.999962285560082,0.999965130988486,"BM1",4.10391155322327,4.10391155322327
"17",7,-515.959125174159,-506.616880157492,3.3140662028137,0.492204689945526,0.429972742515298,"converged","BM1_14_OUM","BM1_14","OUM","OUM",6,"exampleEM",256,1043.91825034832,1044.25559974591,21.631898261611,21.8740095639632,2.0075972700974e-05,1.77870543032579e-05,"BM1",0.0808962675816929,0.258883115371191
"18",7,-518.088566731844,-510.301832357237,3.23226588522876,0.464377103615717,0.429902447558932,"converged","BM1_14_OU1","BM1_14","OU1","OU1",4,"exampleEM",256,1044.17713346369,1044.33649601349,21.8907813769822,21.9549058315449,1.76384672166311e-05,1.70819572104705e-05,"BM1",0.69627581396503,0.69627581396503
"19",9,-324.076869257719,-253.236469445422,0.247259272645527,1e-10,0.2665597114209,"converged","BM1_15_BM1","BM1_15","BM1","BM1",3,"exampleEM",256,654.153738515437,654.248976610675,0,0,0.999999999999997,0.999999999999997,"BM1",2.57486340891262,2.57486340891262
"20",7,-356.839382006675,-360.752932912581,0.700579258883696,0.320077239661535,0.263476226999651,"converged","BM1_15_OU1","BM1_15","OU1","OU1",4,"exampleEM",256,721.67876401335,721.838126563151,67.5250254979131,67.5891499524759,2.17333672087514e-15,2.10475994167776e-15,"BM1",2.26414656647887,2.08615971868926
"21",7,-355.88246186602,-357.503865508193,0.724046189565712,0.342202550426312,0.26361075235365,"converged","BM1_15_OUM","BM1_15","OUM","OUM",6,"exampleEM",256,723.76492373204,724.10227312963,69.6111852166024,69.8532965189547,7.65813804855213e-16,6.78499277493238e-16,"BM1",0.467420890429025,0.645407738218637
"22",10,-372.150629901509,-301.336570241884,0.357910952126462,1e-10,0.298090227149805,"converged","BM1_16_BM1","BM1_16","BM1","BM1",3,"exampleEM",256,750.301259803019,750.396497898257,0,0,0.999999999817444,0.999999999834729,"BM1",22.967863190761,22.967863190761
"23",7,-391.8417859147,-385.120540759062,1.15116179859478,0.447078825498325,0.292408295883771,"converged","BM1_16_OUM","BM1_16","OUM","OUM",6,"exampleEM",256,795.6835718294,796.020921226991,45.382312026382,45.6244233287343,1.39751396182113e-10,1.2381759213364e-10,"BM1",2.18847058576387,2.36645743355348
"24",7,-395.025014631477,-394.901508194259,1.01627952974824,0.360354784572882,0.292679683273147,"converged","BM1_16_OU1","BM1_16","OU1","OU1",4,"exampleEM",256,798.050029262954,798.209391812755,47.7487694599355,47.8128939144982,4.28042067272752e-11,4.14535763331428e-11,"BM1",0.765725194155607,0.587738346365995
"25",7,-202.626367092095,-131.890882833072,0.0972416281796159,1e-10,0.167797000939432,"converged","BM1_17_BM1","BM1_17","BM1","BM1",3,"exampleEM",256,411.252734184189,411.347972279427,0,0,0.999999999999427,0.999999999999489,"BM1",4.25639192490917,4.19226747034645
"26",8,-227.884666889686,-229.530527202553,0.259193107796493,0.341780271020775,0.171354004733023,"converged","BM1_17_OUM","BM1_17","OUM","OUM",6,"exampleEM",256,467.769333779372,468.106683176962,56.5165995951828,56.7587108975351,5.34043126704843e-13,4.73154013837613e-13,"BM1",4.37480017640019,4.37480017640019
"27",7,-232.507559189872,-238.210302147198,0.252917189561878,0.304278421283756,0.169938094020938,"converged","BM1_17_OU1","BM1_17","OU1","OU1",4,"exampleEM",256,473.015118379743,473.174480929544,61.7623841955541,61.8265086501168,3.87675787127164e-14,3.75443188009604e-14,"BM1",9.91780384703316,9.91780384703316
"28",8,-228.804660199788,-157.963171457623,0.115745909813467,1e-10,0.190267825395995,"converged","BM1_18_BM1","BM1_18","BM1","BM1",3,"exampleEM",256,463.609320399575,463.704558494813,0,0,1,1,"BM1",0.0917572695675517,0.485538318089482
"29",7,-265.771736639664,-271.27733089715,0.334917492086526,0.306391155921513,0.184802372087417,"converged","BM1_18_OU1","BM1_18","OU1","OU1",4,"exampleEM",256,539.543473279327,539.702835829128,75.9341528797522,75.9982773343149,3.24420439391118e-17,3.14183779500569e-17,"BM1",1.14795472146011,1.21207917602283
"30",7,-264.900973523617,-269.190859167818,0.339436253792036,0.317072016747326,0.185066068007076,"converged","BM1_18_OUM","BM1_18","OUM","OUM",6,"exampleEM",256,541.801947047233,542.139296444824,78.192626647658,78.4347379500103,1.04878594995235e-17,9.29208255030435e-18,"BM1",11.5545197998566,11.7325066476462
