"","iter","loglik","sigma","alpha","tau","converge","gene_name","regime","model","param.count","ntips","AIC","AIC_weight"
"17",1,-67.0739631880471,0.458957147063747,1e-10,0,NA,"BM1_23","BM1","BM1",3,256,140.147926376094,0.930217124534535
"18",1,-85.5029898030318,0.800355181526065,0.78846740110165,0,NA,"BM1_24","OUM","OUM",6,256,183.005979606064,0.726599379540436
"19",1,-85.5221992397595,0.612269489934144,1e-10,0,NA,"BM1_25","BM1","BM1",3,256,177.044398479519,0.933663572115875
"20",1,-76.9171160107149,0.535262158174819,1e-10,0,NA,"BM1_26","BM1","BM1",3,256,159.83423202143,0.976097849146213
"21",1,-70.819910117636,0.486621916378148,1e-10,0,NA,"BM1_27","BM1","BM1",3,256,147.639820235272,0.995494343777946
"22",1,-91.591126945121,0.673150335272169,1e-10,0,NA,"BM1_28","BM1","BM1",3,256,189.182253890242,0.944286955542212
"23",1,-71.7059610362816,0.49340609453414,1e-10,0,NA,"BM1_29","BM1","BM1",3,256,149.411922072563,0.995243299791016
"24",1,-85.1459005168199,0.608703485758261,1e-10,0,NA,"BM1_3","BM1","BM1",3,256,176.29180103364,0.54791548637449
"25",1,-82.2995224507448,0.582224747298693,1e-10,0,NA,"BM1_4","BM1","BM1",3,256,170.59904490149,0.963470948886273
"26",1,-86.2351852347506,0.619152160573467,1e-10,0,NA,"BM1_5","BM1","BM1",3,256,178.470370469501,0.995153150801483
"27",1,-87.2985332140956,0.629501371327896,1e-10,0,NA,"BM1_6","BM1","BM1",3,256,180.597066428191,0.934899397888187
"28",1,-84.9468135583355,0.606812949394977,1e-10,0,NA,"BM1_7","BM1","BM1",3,256,175.893627116671,0.998825342661119
"29",1,-83.1299403346679,0.589828609529706,1e-10,0,NA,"BM1_8","BM1","BM1",3,256,172.259880669336,0.998744760728695
"30",1,-88.109881571255,0.816388267825104,0.689856513683863,0,NA,"BM1_9","OUM","OUM",6,256,188.21976314251,0.585226299298115
"31",1,-69.9669322966897,0.480179274236547,1e-10,0,NA,"OU1_0","BM1","BM1",3,256,145.93386459338,0.968826547926159
